childid,age,Total_Duration_mins,Average_Duration_mins
2591,5,0.4000,0.01904762
1158,7,1.3833,0.02470238
1501,5,0.5333,0.01616162
1230,4,0.9667,0.02357724
1121,10,0.0833,0.04166667
3314,3,0.9333,0.03589744
343,4,0.5167,0.03974359
330,4,123.2000,3.00487805
1373,4,0.6667,0.03333333
1757,3,0.1167,0.01666667
3483,3,1.1667,0.03240741
2450,4,1.4000,0.01428571
1568,43,24.4167,0.35906863
348,5,0.2500,0.02777778
2237,4,0.2000,0.03333333
1916,5,0.3167,0.01217949
3084,12,0.0500,0.02500000
1329,4,0.5667,0.01954023
1164,4,0.2500,0.03125000
183,5,0.3333,0.03030303
938,9,0.9167,0.01368159
719,5,0.1667,0.03333333
1165,5,0.2833,0.02179487
3448,1,0.0333,0.03333333
3416,3,1.0167,0.04420290
2512,6,1.1333,0.02098765
3623,0,0.3167,0.02638889
505,7,0.0333,0.01666667
2641,3,3.5500,0.02535714
2612,5,3.8500,0.04277778
2437,7,23.8333,0.38440860
2355,3,1.4167,0.03455285
895,3,2.3333,0.02916667
3921,4,0.3000,0.04285714
3238,5,0.6333,0.03958333
1137,5,0.7333,0.02037037
1969,5,0.2500,0.04166667
3681,0,0.0667,0.03333333
2649,5,2.1000,0.03620690
2260,6,0.0667,0.02222222
1450,6,0.6833,0.07592593
329,4,0.1667,0.02380952
3639,7,0.3000,0.01764706
2809,2,0.0333,0.03333333
2398,9,0.2000,0.03333333
3777,5,0.1167,0.02916667
3551,2,0.4167,0.02083333
2719,8,0.1667,0.04166667
1972,4,0.2000,0.01538462
3707,5,0.1333,0.02222222
404,4,1.1500,0.02500000
1387,4,2.9167,0.02581121
1229,6,1.0833,0.02927928
1803,5,1.1000,0.02000000
1210,3,0.0333,0.03333333
2081,5,2.0833,0.02572016
961,6,0.7500,0.05357143
2404,5,2.6167,0.02875458
2261,7,0.0333,0.03333333
2973,3,0.1333,0.02222222
1134,6,0.8667,0.02626263
2675,5,0.2167,0.03611111
3574,5,5.2500,0.02500000
444,6,0.3500,0.02916667
1826,5,2.0333,0.03836478
1218,4,0.0833,0.02777778
902,8,0.2500,0.05000000
2016,16,0.8500,0.01634615
3815,16,0.2500,0.01785714
1827,8,0.0833,0.02777778
1748,3,1.7667,0.02994350
3748,16,0.2500,0.03571429
642,5,0.1000,0.02500000
2640,16,24.6500,0.24650000
1033,5,15.4167,0.16757246
2333,3,0.9000,0.04500000
2702,5,10.6000,0.08907563
2576,5,1.1167,0.05317460
1980,4,0.6333,0.02753623
2122,7,0.0500,0.02500000
920,8,0.3000,0.01666667
1472,3,2.2500,0.03461538
1232,18,0.9833,0.02657658
1268,9,0.5333,0.02222222
670,1,0.0667,0.00666667
2043,7,0.0333,0.03333333
2975,3,0.7667,0.03194444
3762,33,0.1500,0.01875000
2068,8,0.3333,0.00757576
2510,6,0.9333,0.03218391
3943,3,0.1833,0.02619048
1400,6,2.7333,0.02679739
1805,4,40.6667,0.12398374
287,4,0.1333,0.03333333
2157,4,1.6333,0.02512821
342,5,0.1833,0.01527778
1789,3,0.1500,0.00652174
1231,4,0.1500,0.03000000
1813,6,0.1333,0.02666667
3710,2,0.3833,0.02254902
3882,0,0.0667,0.03333333
2126,1,0.1000,0.00416667
2639,16,1.8333,0.01490515
2479,7,0.1833,0.00916667
1154,6,3.6167,0.01864261
3562,4,0.7500,0.05357143
3900,5,1.4500,0.03085106
781,5,2.4333,0.05530303
3288,5,2.7167,0.02538941
522,5,1.3000,0.03023256
3866,3,0.0833,0.04166667
1834,0,0.1500,0.01666667
966,6,0.2500,0.04166667
1821,2,1.4167,0.03148148
2739,16,1.3000,0.04333333
3422,29,0.0333,0.03333333
2887,16,0.8167,0.03141026
1903,5,0.2833,0.02575758
2291,6,0.5167,0.04696970
294,5,0.1667,0.02380952
3887,5,0.5500,0.04583333
3478,7,1.6000,0.01927711
3774,3,0.0333,0.03333333
3605,16,0.0333,0.03333333
2971,6,16.7833,0.27069892
3930,16,0.1333,0.03333333
1741,8,0.4000,0.01818182
1810,4,1.3167,0.03761905
3413,6,1.7167,0.03901515
1977,4,0.4000,0.03076923
3934,3,0.1667,0.08333333
1526,4,1.3667,0.04141414
1178,31,0.0333,0.03333333
349,6,0.9333,0.02666667
354,6,0.0833,0.01388889
457,5,0.7667,0.02555556
2305,8,121.3333,1.89583333
2885,3,1.1500,0.03965517
690,6,0.2500,0.05000000
1385,5,6.0500,0.05401786
2722,6,0.3167,0.01266667
889,6,0.4833,0.01858974
1142,5,0.9500,0.02435897
730,5,0.8500,0.02428571
2448,3,0.2667,0.04444444
478,5,0.0333,0.01111111
2240,10,2.0500,0.01564885
536,5,31.0500,0.60882353
2889,16,0.5667,0.02179487
420,5,0.0333,0.03333333
